This file contains the contribution function for each layer and waveband.
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   contr_func_lay[0]   contr_func_lay[1]   contr_func_lay[2]   contr_func_lay[3]   contr_func_lay[4]   contr_func_lay[5]   contr_func_lay[6]   contr_func_lay[7]   contr_func_lay[8]   contr_func_lay[9]   contr_func_lay[10]   contr_func_lay[11]   contr_func_lay[12]   contr_func_lay[13]   contr_func_lay[14]   contr_func_lay[15]   contr_func_lay[16]   contr_func_lay[17]   contr_func_lay[18]   contr_func_lay[19]   contr_func_lay[20]   contr_func_lay[21]   contr_func_lay[22]   contr_func_lay[23]   contr_func_lay[24]   contr_func_lay[25]   contr_func_lay[26]   contr_func_lay[27]   contr_func_lay[28]   contr_func_lay[29]   contr_func_lay[30]   contr_func_lay[31]   contr_func_lay[32]   contr_func_lay[33]   contr_func_lay[34]   contr_func_lay[35]   contr_func_lay[36]   contr_func_lay[37]   contr_func_lay[38]   contr_func_lay[39]   contr_func_lay[40]   contr_func_lay[41]   contr_func_lay[42]   contr_func_lay[43]   contr_func_lay[44]   contr_func_lay[45]   contr_func_lay[46]   contr_func_lay[47]   contr_func_lay[48]   contr_func_lay[49]   contr_func_lay[50]   contr_func_lay[51]   contr_func_lay[52]   contr_func_lay[53]   contr_func_lay[54]   contr_func_lay[55]   contr_func_lay[56]   contr_func_lay[57]   contr_func_lay[58]   contr_func_lay[59]   contr_func_lay[60]   contr_func_lay[61]   contr_func_lay[62]   contr_func_lay[63]   contr_func_lay[64]   contr_func_lay[65]   contr_func_lay[66]   contr_func_lay[67]   contr_func_lay[68]   contr_func_lay[69]   contr_func_lay[70]   contr_func_lay[71]   contr_func_lay[72]   contr_func_lay[73]   contr_func_lay[74]   contr_func_lay[75]   contr_func_lay[76]   contr_func_lay[77]   contr_func_lay[78]   contr_func_lay[79]   contr_func_lay[80]   contr_func_lay[81]   contr_func_lay[82]   contr_func_lay[83]   contr_func_lay[84]   contr_func_lay[85]   contr_func_lay[86]   contr_func_lay[87]   contr_func_lay[88]   contr_func_lay[89]   contr_func_lay[90]   contr_func_lay[91]   contr_func_lay[92]   contr_func_lay[93]   contr_func_lay[94]   contr_func_lay[95]   
0       0.01              0.00899745971        0.00200508058      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
1       0.0120050806      0.0110025403         0.00220609798      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
2       0.014412196       0.0132086383         0.00264843841      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
3       0.0173019574      0.0158570767         0.00317947165      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
4       0.0207711393      0.0190365483         0.00381698133      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
5       0.02493592        0.0228535297         0.00458231684      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
6       0.0299357729      0.0274358465         0.00550110829      1.89474e-320          3.26334e-318          3.04952e-319          9.38725e-323          0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
7       0.0359381366      0.0329369548         0.00660412483      1.48651e-275          1.96644e-271          1.84135e-270          6.2743e-272           1.9879e-275           7.17982e-281          6.95816e-288          2.74477e-296          7.692e-306            0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
8       0.0431440226      0.0395410796         0.00792830508      3.29745e-238          1.62765e-232          7.0979e-230           1.2428e-229           2.2672e-231           5.9568e-235           4.78791e-240          1.95989e-246          7.02208e-254          2.28347e-262          6.35894e-272          4.19892e-282          3.33957e-293          2.50463e-305          0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
9       0.0517947468      0.0474693847         0.00951799413      3.76717e-207          3.80049e-200          4.0608e-196           1.89885e-194          1.01258e-194          9.45263e-197          3.0804e-200           6.05924e-205          1.20522e-210          2.50228e-217          5.96302e-225          3.32277e-233          3.01325e-242          3.78401e-252          2.21764e-262          1.95007e-273          1.78384e-285          2.0472e-297           0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
